
		Printed:
	    28/08/2021

		Title:
		History Search - CMS

Date;From 01 Apr 18 To 19 Jun 21
Fleet;VJC_all
A/C Type;A320
A/C ID;VN-A690
Message Type;ALL
Ata - subAta;ALL - ALL
Correlated;ALL
Text;ALL


Fault Tracking;Leg;A/C ID;Flight Number;Flight phase;Date Time;Transmission Date;ATA;Source;Title;Priority;Correlated;Report;Work;Note
;-6604;VN-A690;VJ321;02-ENG START;05 May 18 - 01:32;05 May 18 - 01:33;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6601;VN-A690;VJ212;02-ENG START;05 May 18 - 05:19;05 May 18 - 05:20;242255;AFS;AFS:28V PWR 11XU1;;No;CFR;;
;-6601;VN-A690;VJ212;02-ENG START;05 May 18 - 05:19;05 May 18 - 05:20;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6600;VN-A690;VJ713;02-ENG START;05 May 18 - 07:28;05 May 18 - 07:53;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6598;VN-A690;VJ712;02-ENG START;05 May 18 - 09:17;05 May 18 - 09:25;242255;AFS;AFS:28V PWR 11XU1;;No;CFR;;
;-6598;VN-A690;VJ712;02-ENG START;05 May 18 - 09:17;05 May 18 - 09:25;231133;CFDS;NO HF 1 DATA;;No;CFR;;
;-6593;VN-A690;VJ401;02-ENG START;05 May 18 - 17:20;05 May 18 - 17:21;242255;AFS;AFS:28V PWR 11XU1;;No;CFR;;
;-6593;VN-A690;VJ401;02-ENG START;05 May 18 - 17:20;05 May 18 - 17:21;237300;SDCU;OBRM/ CIDS(101RH)-SDF1/;;No;CFR;;
;-6593;VN-A690;VJ401;02-ENG START;05 May 18 - 17:20;05 May 18 - 17:21;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6593;VN-A690;VJ401;06-CRUISE;05 May 18 - 18:45;05 May 18 - 18:46;7700;;ENG 1 FADEC;;No;CFR;;
;-6593;VN-A690;VJ401;06-CRUISE;05 May 18 - 18:46;05 May 18 - 18:47;752210;EIU1FADEC;LPTC VLV, HMU ENG1A;;No;CFR;;
